Diaj,ETC0,ND3,ND4,ETC0_cfg2,ND3_cfg2,ND4_cfg2
737293.5,NaN,NaN,NaN,NaN,NaN,NaN
737294,1638.7902802243,-4.66717373052597,0.983286492402158,1640.87284617414,-4.47007949974545,-0.257822868283711
737294.5,NaN,NaN,NaN,NaN,NaN,NaN
737295,NaN,NaN,NaN,NaN,NaN,NaN
737295.5,1621.06805732019,7.52022673591591,5.90032574139559,1621.06805732019,7.52022673591591,5.90032574139559
737296,1627.89496384657,2.29789439521755,6.54672962703921,1631.39675984117,1.75291344234483,4.75448212262404
737296.5,1621.79454610511,4.85414761365018,5.45155481316624,1621.79454610511,4.85414761365018,5.45155481316624
737298,1630.63209063654,-1.48308834597719,1.52943779906536,1633.15339618894,-1.29060730397237,-0.0935525583656727
737298.5,NaN,NaN,NaN,NaN,NaN,NaN
737299,1616.33757211749,11.0744100375425,12.7795054878616,1617.85560713709,11.9479682009905,13.407279004957
737299.5,1626.00431399803,1.38440448992242,-0.299869247105562,1626.00431399803,1.38440448992242,-0.299869247105562
737300,1608.16051872846,11.4894591324201,19.0741220881177,1615.88549847177,8.50992408512411,14.9011876457701
737300.5,1610.31533897686,12.2417752311812,18.0428274792546,1610.31533897686,12.2417752311812,18.0428274792546
737301,NaN,NaN,NaN,NaN,NaN,NaN
737301.5,1624.91201892827,-0.0246130000691664,-0.697886584973048,1624.91201892827,-0.0246130000691664,-0.697886584973048
737302,1617.99667952635,-1.28008011080306,11.0828514603943,1618.54002335549,-0.261933608803247,10.6298851743393
737302.5,1619.20726733522,4.00172373300506,3.52274158401406,1619.20726733522,4.00172373300506,3.52274158401406
